temp_avg,temp_min,temp_max
0.0247,0.020300000000000002,0.031
0.0245,0.0225,0.027600000000000003
0.024300000000000002,0.0228,0.026
0.0224,0.0213,0.0253
0.0217,0.0205,0.0235
0.0228,0.019399999999999997,0.0259
0.0275,0.0232,0.0324
0.027399999999999997,0.0248,0.0317
0.0255,0.023899999999999998,0.0315
0.026,0.0235,0.0289
0.0246,0.0228,0.027100000000000003
0.0255,0.0221,0.0303
0.0246,0.0225,0.0285
0.0245,0.0222,0.029
0.026600000000000002,0.022699999999999998,0.0315
0.0254,0.0233,0.0298
0.0257,0.0225,0.0295
0.0261,0.0237,0.032799999999999996
0.0268,0.023,0.032299999999999995
0.0268,0.024300000000000002,0.0315
0.0261,0.024300000000000002,0.0293
0.0255,0.025,0.030199999999999998
0.0255,0.0233,0.0288
0.0254,0.0233,0.0272
0.0254,0.0224,0.0294
0.0261,0.0224,0.031100000000000003
0.0261,0.0228,0.030699999999999998
0.026199999999999998,0.024,0.030600000000000002
0.026699999999999998,0.023,0.030899999999999997
0.0265,0.023600000000000003,0.032299999999999995
0.0264,0.0235,0.032100000000000004
0.026699999999999998,0.023100000000000002,0.032
0.027600000000000003,0.023899999999999998,0.033299999999999996
0.0272,0.0232,0.033299999999999996
0.0253,0.019399999999999997,0.032600000000000004
0.0253,0.019899999999999998,0.032299999999999995
0.0254,0.020399999999999998,0.0318
0.026199999999999998,0.0213,0.032799999999999996
0.0275,0.023399999999999997,0.0339
0.0275,0.0233,0.033299999999999996
0.0268,0.0221,0.0338
0.0261,0.0222,0.032299999999999995
0.026199999999999998,0.0232,0.0318
0.0261,0.0208,0.032799999999999996
0.0264,0.020300000000000002,0.033
0.026,0.020399999999999998,0.033100000000000004
0.0268,0.0214,0.0335
0.027399999999999997,0.0218,0.0342
0.0275,0.0225,0.034
0.027899999999999998,0.0223,0.035
0.0254,0.0228,0.0298
0.0238,0.0213,0.027899999999999998
0.0247,0.019600000000000003,0.030600000000000002
0.0229,0.018600000000000002,0.0285
0.0217,0.0182,0.027100000000000003
0.0218,0.016800000000000002,0.027800000000000002
0.0224,0.0172,0.0281
0.0218,0.0185,0.0253
0.0233,0.0179,0.0294
0.0248,0.019100000000000002,0.032299999999999995
0.0257,0.0209,0.0313
0.0189,0.017,0.0238
0.0224,0.0178,0.0282
0.0223,0.019399999999999997,0.0273
0.0206,0.0198,0.0228
0.0185,0.0161,0.0229
0.0209,0.0178,0.0251
0.0215,0.019,0.026199999999999998
0.020399999999999998,0.015099999999999999,0.0265
0.0218,0.016399999999999998,0.027399999999999997
0.0212,0.018,0.024
0.0205,0.0166,0.0249
0.019399999999999997,0.0136,0.0259
0.0201,0.015099999999999999,0.0265
0.020300000000000002,0.0147,0.027399999999999997
0.0174,0.0159,0.0201
0.0184,0.0154,0.023399999999999997
0.0184,0.011,0.0253
0.0184,0.011,0.026
0.0189,0.0156,0.0242
0.019399999999999997,0.013,0.0269
0.018699999999999998,0.0125,0.026199999999999998
0.0197,0.013300000000000001,0.0272
0.0208,0.0152,0.027600000000000003
0.0193,0.012,0.0273
0.02,0.0157,0.0272
0.018,0.0141,0.023899999999999998
0.0175,0.0114,0.0252
0.0175,0.0126,0.0242
0.0148,0.013099999999999999,0.0161
0.0075,0.005,0.0136
0.0075,0.0013,0.0152
0.011300000000000001,0.0036,0.0189
0.013099999999999999,0.0088,0.019399999999999997
0.0129,0.0057,0.0202
0.0127,0.005,0.0213
0.0121,0.009800000000000001,0.0143
0.0115,0.0101,0.0159
0.0134,0.0099,0.0179
0.0125,0.0073,0.019399999999999997
0.0135,0.0099,0.0172
0.0127,0.0078,0.0161
0.0105,0.0037,0.0178
0.0103,0.0058,0.015099999999999999
0.0088,0.0050999999999999995,0.013800000000000002
0.0085,0.0022,0.0152
0.0103,0.004200000000000001,0.0167
0.0123,0.005900000000000001,0.0197
0.013800000000000002,0.0081,0.0192
0.0143,0.0094,0.021
